First,Second,Third,Forth,Fifth
-28269.375948283643,-28269.362878607597,-28269.211430249557,-28268.869053286668,-28268.95653988196
-35680.14320625328,-35680.533446323345,-35679.81638001483,-35679.596445960415,-35679.11169584004
-40605.473465855306,-40607.91670130546,-40606.58273353721,-40605.563357652456,-40606.41694124265
-32313.761330261746,-32313.726994357818,-32313.786539801913,-32313.762731145456,-32313.481891098938
-22603.184304953244,-22602.955821027466,-22602.698737899398,-22603.325410099515,-22603.286474146822
-31867.350916656254,-31867.435280910697,-31867.26781846589,-31867.59737865218,-31867.62090240732
-25809.452427752476,-25809.400115658384,-25809.22175550077,-25809.24220500101,-25809.394845784747
-42657.79676234767,-42656.649841516344,-42657.816486075135,-42657.47773939489,-42657.29592995637
-21441.04553457713,-21441.1303271204,-21441.218618589242,-21440.982581815566,-21441.03395863722
-37543.55485240162,-37543.40127571669,-37543.266709768,-37543.70647469387,-37543.54007810802
-20284.768120677603,-20284.638598459707,-20284.837634787495,-20284.748805650932,-20284.64162708406
-21996.917840858194,-21999.753012901845,-21992.513323055377,-21999.843769402152,-21998.57818761238
-31320.732152540164,-31320.314555129837,-31319.907339732737,-31320.44322825929,-31320.185176050338
-34587.018848776854,-34587.06039727937,-34587.58451739733,-34586.507601660756,-34586.43355562726
-31736.291959009002,-31736.4031018385,-31736.48749096704,-31736.155016437948,-31735.84048197196
-30360.147639369712,-30360.272161346333,-30360.123356328277,-30360.539429123193,-30359.32902682453
-42535.53440547992,-42536.11744266661,-42536.11767818305,-42535.50543413122,-42535.407116766066
-32619.50028576418,-32619.389496877942,-32619.597587164786,-32619.672325512125,-32619.516379965127
