First,Second,Third,Forth,Fifth
-35278.077044744234,-35278.64656131016,-35275.68307484368,-35276.81542210108,-35278.08457050861
-41729.705547131314,-41730.50186686865,-41731.8004168621,-41728.97365157212,-41731.55203075978
-44471.16598706345,-44471.55152827672,-44472.98465366336,-44471.242684734985,-44472.73249541194
-63777.40026131585,-63772.21927221628,-63777.42863772051,-63775.1693382179,-63775.673942886315
-39634.34463696388,-39638.20711609256,-39634.77584362872,-39637.061509019084,-39637.63700196843
-39976.41364254607,-39975.16058655675,-39975.33745599964,-39975.992102294076,-39976.029371748584
-58175.8346249154,-58176.05584253362,-58175.75156401423,-58175.44528596733,-58174.24942326347
-51445.57306539222,-51447.46144306927,-51448.20254997894,-51437.04590473121,-51445.93236755809
-40570.86127633152,-40737.08663514645,-39638.49131455737,-40162.29730387131,96618.84269996923
-48491.188410444614,-48484.724717870115,-48479.26140552736,-48474.64735210503,-48474.54711601054
-27088.754219391987,-27089.976910756697,-27087.958856653007,-27091.179885049212,-27089.446163092296
-36476.84437887887,-36549.764237018855,-40392.684351106655,-38650.34964027855,-38524.39231980087
-41485.00995701842,-41487.44718447862,-41482.287760819614,-41482.530100833304,-41476.20429974478
-39065.216734940645,-39065.59650186127,-39064.69340888001,-39063.802135745405,-39062.153079505224
-49338.02962786359,-49339.0558639881,-49339.20115154612,-49338.9634802366,-49334.160818448385
-50280.95284620023,-50279.912939503156,-50277.28361973873,-50282.0071305287,-50282.066005503475
-34724.14758662095,-34728.04771378933,-34726.70937965897,-34727.431683795316,-34723.71818398912
-47949.23482664742,-49209.586384335635,-49202.287358746784,-49176.3016267754,-49170.748154726876
-43518.15793040935,-43518.31706983472,-43517.93298342937,-43519.13866202098,-43518.970901268316
-45588.377645288994,-45586.35314468642,-45589.49103541624,-45587.21114219255,-45588.35441032316
-34158.73667845883,-34410.10885329209,-34372.47420763979,-34226.52750694585,-34361.76269086478
-48965.74882867545,-48965.61771033601,-48965.31410241959,-48966.90527787591,-48966.396491937805
-36518.58079637918,-36517.44937058796,-36517.09118214173,-36516.16292615069,-36516.22279151625
-35204.521064115455,-35207.37422372585,-35203.57129003435,-35206.8281965883,-35202.79432990692
-29600.086630701077,-29604.537023735615,-29598.394288014308,-29602.529433324944,-29598.040603088517
-45159.55924115251,-45161.57203803044,-45162.90739589819,-45161.9231475745,-45158.18902411109
