First,Second,Third,Forth,Fifth
-57552.02521712879,-73208.66956508602,-73166.16748918069,-71343.46113188853,-71271.87433635183
-71071.25794017491,-36508.54117443852,-71230.04289233858,-52933.86058118168,-71402.66637887344
-66270.76267859951,-74387.58346241727,-57836.96026572622,-72106.26457699125,-74274.21315941894
-72306.2254072913,-73389.25796402275,-65834.26972027113,-72570.27459469135,-73350.56290612422
-69186.42403506442,-73432.16765462414,-72939.41532262732,-64694.72973330244,-69115.1098974028
-49254.002821198934,-47902.025874952655,-49000.60679168899,-49270.38058338183,-49272.0791592633
-70432.70782412443,-72228.02173231448,-71679.03039050262,-72998.35959232459,-44654.688040893896
-68226.14622878942,-68377.75100129902,-66216.64004297412,-68271.27087684687,-68334.16562332294
-76643.80632388657,-76771.03977732055,-65544.35887529125,-63785.05295706981,-52555.36812242209
-59587.596158100125,-67023.26851124088,-62955.6138396942,-61583.47245697201,-67478.59129087135
-75208.35355706372,-75061.08976561061,-75297.44553695327,-75229.60899972031,-75219.65189602385
