First,Second,Third,Forth,Fifth
-46253.52613301462,-46257.114783055134,-46244.9674684168,-46255.51221939561,-46246.561213946836
-43407.26690921968,-43409.13994312113,-43412.0624631196,-43414.88999883087,-43222.61366245822
-37199.97207980578,-37206.619159178095,-37221.66453059689,-37209.40832635166,-37213.136254142366
-41032.38270562991,-40961.09192321458,-40974.625425758284,-41035.80483276067,-40975.277896219064
-59452.831691514686,-59454.28502931513,-59436.499410465876,-59452.857912168816,-59454.61743313752
-54361.440807030085,-53934.0989981068,-54351.82516846246,-54364.42906624027,-54352.33465792345
-50456.1389080761,-50728.69783514206,-50581.50276495512,-50727.859068078105,-50720.902529232655
-48374.082437775185,-48451.038623976594,-48461.27819436963,-48282.843162825244,-48448.476520924094
-38833.305469660336,-38809.54036293837,-38824.076943715314,-38835.83202763022,-38826.560945877034
-63427.18276757994,-63864.64991112808,-63275.09256924793,-63973.01609949722,-63602.76176944943
-57494.51566713818,-57173.7497662242,-52664.76511622579,-57497.51350937712,-57487.81496603535
-58036.364165237246,-58042.020313464825,-58042.84384899161,-58039.15040321509,-58049.053186971825
-51398.563532839784,-51401.774190989025,-51396.06716976893,-51404.23896621878,-51406.22330052
-55407.78991565213,-55684.01898565651,-55654.48775862429,-55694.297676923976,-55695.162108369586
-48818.803943455736,-48815.30356620714,-48815.43266681972,-48812.97088025574,-48813.727695580616
-61857.770793563264,-61857.66582504951,-61855.37756579188,-61855.96137059432,-61859.734279809505
-62069.286804711024,-62012.93276232574,-60562.75506906795,-61657.646566122334,-62082.859628961785
-50677.46361573414,-50692.945133887464,-44658.268091588456,-50729.28019928794,-50501.467492034695
-54287.10247752163,-53565.3433398354,-54296.770931338564,-54298.63206050142,-54301.37974797032
-50660.07523835399,-50763.06972332751,-49777.09165090766,-50753.58489266314,-50747.751754143705
-53527.062451634716,-53506.55605586492,-53538.75074649339,-53538.70848096608,-53543.28254018333
-60463.42722283754,-60510.67904169343,-60372.8892934091,-60926.238174627615,-61048.67754978626
-63997.531437871134,-64003.77796084058,-64001.30213863335,-64007.078985379645,-63993.18455946298
-51559.05056596376,-51570.708541674,-51569.68529506616,-51569.585148343984,-51332.25974639995
-52073.34543109581,-51963.84846169983,-51554.61725627222,-52093.13444474827,-51932.01957927144
-57171.800402702545,-57221.674929024666,-57210.37275019878,-57122.418373116954,-57200.02217225581
-38390.960075472576,-38409.88160496159,-38424.22925604309,-38410.448841080186,-38422.43393673214
-56198.98631748624,-55973.69126394588,-56224.51559090704,-56228.52355529829,-55990.92843082563
-41422.143120024266,-41015.44338332254,-39751.931922588534,-41422.27385447114,-41439.53214852353
-53099.4882181779,-53103.05690061121,-53097.821015448455,-53098.75201134546,-53099.6996759504
-41314.94024445937,-40119.457862542506,-40121.48815205033,-41589.146464919715,-40118.83913081524
-40404.425494831696,-40280.68289695188,-40351.71533468616,-40362.61850067009,-40390.468851080186
-45564.592007085164,-43670.41977019875,-42817.90864095713,-43635.646134586575,-43655.030790573575
-40936.053985281316,-40973.7704011884,-40961.80886550085,-40386.451351866606,-40949.205393397715
-52163.023021318,-52064.62246073019,-52161.31640446454,-52154.746304288514,-52162.3744427923
-38654.520477378814,-40759.39388579439,-40777.07600069353,-40765.95889584478,-40775.613626020866
-54992.903101781834,-54933.33226564582,-54883.857146373084,-54997.631779108095,-54928.091551334684
-54532.691315690456,-54544.76736520903,-54541.691435152614,-54543.71287205169,-54537.07786941637
